alg,process,size,time
rows,1,1000,2.186400
rows,2,1000,1.563100
rows,4,1000,1.209000
rows,8,1000,0.832600
rows,16,1000,0.480700
rows,1,2000,17.299600
rows,2,2000,5.859000
rows,4,2000,4.260300
rows,8,2000,2.613600
rows,16,2000,1.499700
rows,1,4000,54.426100
rows,2,4000,19.929400
rows,4,4000,16.317700
rows,8,4000,10.642300
rows,16,4000,7.628100
rows,1,8000,155.636800
rows,2,8000,123.013000
rows,4,8000,92.522300
rows,8,8000,44.977100
rows,16,8000,27.208800
cols,1,1000,2.308200
cols,2,1000,1.967200
cols,4,1000,4.053200
cols,8,1000,3.599700
cols,16,1000,17.530600
cols,1,2000,7.657300
cols,2,2000,8.274400
cols,4,2000,12.904800
cols,8,2000,6.457500
cols,16,2000,21.576900
cols,1,4000,32.318900
cols,2,4000,33.167500
cols,4,4000,31.749500
cols,8,4000,26.802500
cols,16,4000,120.685800
cols,1,8000,156.922600
cols,2,8000,87.897400
cols,4,8000,136.039100
cols,8,8000,74.253900
cols,16,8000,2394.804200
blocks,1,1000,3.635400
blocks,2,1000,3.189000
blocks,4,1000,4.101100
blocks,8,1000,3.464400
blocks,16,1000,14.841300
blocks,1,2000,17.035800
blocks,2,2000,15.357100
blocks,4,2000,13.661700
blocks,8,2000,10.210700
blocks,16,2000,27.553600
blocks,1,4000,36.341400
blocks,2,4000,50.270600
blocks,4,4000,39.306900
blocks,8,4000,32.033800
blocks,16,4000,75.834800
blocks,1,8000,232.157000
blocks,2,8000,168.190300
blocks,4,8000,134.104800
blocks,8,8000,82.167100
blocks,16,8000,192.981300
